저자,공동저자,Freq
윤용식,권성준,6
김연수,허찬영,5
김지수,권선영,5
김남일,김극태,4
김영주,권선영,4
김용빈,최인식,4
김홍기,전계형,4
박효현,정강옥,4
김형석,김재철,3
박지수,윤영선,3
배현민,최지영,3
백경아,윤진환,3
정충영,이준재,3
최영재,최인식,3
곽노섭,은성배,2
권성준,윤용식,2
김기욱,강한나,2
김문선,이만희,2
김미영,조민아,2
김영아,심정자,2
김영아,이경진,2
김정남,박미랑,2
김태훈,권성준,2
김홍기,신호철,2
김홍기,한상범,2
김회남,윤영선,2
박상호,강신철,2
박송이,정덕현,2
박지수,정진만,2
백경아,지용석,2
서지원,김영민,2
서지원,이창열,2
서지원,이효재,2
양정관,김봉석,2
윤용식,정기찬,2
이승영,최지영,2
이현우,권성준,2
임보현,허근,2
정덕현,박송이,2
정보희,이희태,2
조금붕,한학진,2
채진수,한동유,2
최상학,김동한,2
최상학,이준재,2
최승호,김서연,2
최승호,김태식,2
최승호,민홍,2
최승호,정영훈,2
최승호,정진만,2
최은미,최명진,2
Enkhgerel Erdenetsetseg,송수진,1
Enkhgerel Erdenetsetseg,신혜란,1
Patrick Enenche,유동호,1
Preeti Bharti,박병주,1
Samuel Buertey,강선아,1
Samuel Buertey,이용석,1
강경신,이재승,1
강경신,홍기현,1
강은지,김진아,1
강은지,나양호,1
강이영,김운중,1
강이영,이승희,1
강이영,정종진,1
강재구,임동순,1
강카이,김진천,1
강카이,은성배,1
강한나,마정미,1
강효민,김기웅,1
강효민,김재형,1
강효민,이상혁,1
강희선,김동균,1
강희선,김종훈,1
강희선,박성준,1
강희선,안상민,1
강희선,이영훈,1
강희선,조길현,1
강희선,한성준,1
강희선,허석민,1
고경덕,장수덕,1
고영흔,서교원,1
고영흔,정보희,1
고창룡,설성수,1
고창룡,이종윤,1
곽노섭,소선섭,1
곽노섭,손경아,1
곽노섭,윤영선,1
곽노섭,정진만,1
곽노섭,차신,1
곽노열,경지훈,1
곽노열,권한솔,1
곽노열,김현창,1
곽동철,권일숙,1
곽숭훈,김재철,1
곽희선,김수정,1
권선영,구정화,1
권성준,김혁중,1
권일숙,김유진,1
권일숙,김태중,1
권일숙,이진호,1
김가은,박병주,1
김강석,김수연,1
김강석,윤진환,1
김강석,지용석,1
김경수,윤영선,1
김광준,김윤정,1
김광준,이만희,1
김광준,최여정,1
김기태,이지연,1
김남연,김재철,1
김다솜,백운기,1
김다솜,변봉규,1
김다솜,이지영,1
김다솜,전병선,1
김다솜,황건영,1
김동석,심우정,1
김명준,김경한,1
김명준,조재흥,1
김문경,구정화,1
김문선,김광준,1
김문선,양희동,1
김민규,김성대,1
김민규,한동유,1
