"Origin_city","Destination_city"
"Laredo, TX","Gary, IN"
"Laredo, TX","Gary, IN"
"Laredo, TX","Gary, IN"
"Laredo, TX","Gary, IN"
"Laredo, TX","Gary, IN"
"Laredo, TX","Gary, IN"
"Reno, NV","Gary, IN"
"El Paso, TX","Gary, IN"
"Pensacola, FL","Reno, NV"
"Pensacola, FL","Reno, NV"
"Milwaukee, WI","Reno, NV"
"Milwaukee, WI","Reno, NV"
"Milwaukee, WI","Reno, NV"
"St. Louis, MO","Reno, NV"
"St. Louis, MO","Reno, NV"
"Des Moines, IA","Reno, NV"
"Fort Wayne, IN","Reno, NV"
"Des Moines, IA","Reno, NV"
"Fort Wayne, IN","Reno, NV"
"Birmingham, AL","Reno, NV"
"Des Moines, IA","Reno, NV"
"Birmingham, AL","Reno, NV"
"Wausau, WI","Reno, NV"
"Topeka, KS","Reno, NV"
"Topeka, KS","Reno, NV"
"Dallas, TX","Reno, NV"
"Dallas, TX","Reno, NV"
"Dallas, TX","Reno, NV"
"Mobile, AL","Reno, NV"
"Dallas, TX","Reno, NV"
"Monroe, LA","Reno, NV"
"Dallas, TX","Reno, NV"
"Dallas, TX","Reno, NV"
"Dallas, TX","Reno, NV"
"Mobile, AL","Reno, NV"
"Dallas, TX","Reno, NV"
"Dallas, TX","Reno, NV"
"Dallas, TX","Reno, NV"
"Dallas, TX","Reno, NV"
"Dallas, TX","Reno, NV"
"Dallas, TX","Reno, NV"
"Dallas, TX","Reno, NV"
"Dallas, TX","Reno, NV"
"Dallas, TX","Reno, NV"
"Dallas, TX","Reno, NV"
"Dallas, TX","Reno, NV"
"Dallas, TX","Reno, NV"
"Dallas, TX","Reno, NV"
"Dallas, TX","Reno, NV"
"Dallas, TX","Reno, NV"
"Dallas, TX","Reno, NV"
"Dallas, TX","Reno, NV"
"Dallas, TX","Reno, NV"
"Dallas, TX","Reno, NV"
"Omaha, NE","Reno, NV"
"Omaha, NE","Reno, NV"
"Austin, TX","Reno, NV"
"Omaha, NE","Reno, NV"
"Austin, TX","Reno, NV"
"Gary, IN","Reno, NV"
"Omaha, NE","Reno, NV"
"Austin, TX","Reno, NV"
"Omaha, NE","Reno, NV"
"Omaha, NE","Reno, NV"
