날짜,역번호,역명,구분,03-04시,04-05시,05-06시,06-07시,07-08시,08-09시,09-10시,10-11시,11-12시,12-13시,13-14시,14-15시,15-16시,16-17시,17-18시,18-19시,19-20시,20-21시,21-22시,22-23시,23-00시,00-01시,01-02시,02-03시
2024-03-01,1101,판암,승차,0,2,54,73,114,182,224,192,218,223,223,210,167,167,209,141,88,86,47,25,9,0,0,0
2024-03-01,1101,판암,하차,0,0,10,28,62,74,103,90,114,131,132,135,178,212,239,154,150,130,170,136,63,21,0,0
2024-03-01,1102,신흥,승차,0,0,29,32,55,82,68,65,75,77,77,70,50,60,65,54,29,27,14,9,5,0,0,0
2024-03-01,1102,신흥,하차,0,0,5,20,22,29,42,22,43,42,36,48,74,96,85,80,48,63,60,69,41,5,0,0
2024-03-01,1103,대동,승차,0,0,45,62,100,140,160,217,230,181,185,161,189,159,205,192,120,76,68,53,28,0,0,0
2024-03-01,1103,대동,하차,0,0,14,25,55,155,65,62,87,110,96,113,144,156,176,197,148,116,161,154,115,13,0,0
2024-03-01,1104,대전,승차,0,0,21,75,150,272,471,799,650,818,667,838,1000,924,884,683,604,591,429,393,205,0,0,0
2024-03-01,1104,대전,하차,0,0,88,280,450,609,735,839,894,728,900,770,866,662,602,576,426,373,239,104,40,2,0,0
2024-03-01,1105,중앙로,승차,0,5,24,25,53,62,116,144,217,234,397,505,796,840,830,813,722,558,539,262,148,6,0,0
2024-03-01,1105,중앙로,하차,0,5,12,24,58,164,306,515,723,846,846,856,737,632,670,519,360,193,152,74,34,9,0,0
2024-03-01,1106,중구청,승차,0,3,17,21,38,43,48,63,54,50,67,70,76,84,98,86,55,51,44,25,10,0,0,0
2024-03-01,1106,중구청,하차,0,3,9,35,25,30,36,70,58,98,86,64,91,73,106,74,44,39,45,34,20,4,0,0
2024-03-01,1107,서대전네거리,승차,0,0,52,66,97,189,187,221,279,254,300,307,288,270,242,258,189,135,135,92,76,0,0,0
2024-03-01,1107,서대전네거리,하차,0,0,20,48,64,122,140,197,276,241,267,287,272,303,374,354,281,194,208,168,98,12,0,0
2024-03-01,1108,오룡,승차,0,0,35,50,83,161,164,150,189,155,186,150,139,125,169,153,108,60,52,40,29,0,0,0
2024-03-01,1108,오룡,하차,0,0,7,42,40,92,95,86,111,109,119,121,163,193,166,171,133,109,104,84,76,0,0,0
2024-03-01,1109,용문,승차,0,0,66,102,136,189,262,247,311,325,355,368,367,358,329,298,202,231,172,116,42,0,0,0
2024-03-01,1109,용문,하차,0,0,23,76,72,128,199,252,280,230,313,344,404,409,466,373,387,218,179,166,116,0,0,0
2024-03-01,1110,탄방,승차,0,0,30,50,72,130,141,158,185,184,238,134,182,169,174,147,139,94,65,86,29,0,0,0
2024-03-01,1110,탄방,하차,0,0,29,55,48,106,190,132,171,124,167,183,188,197,210,175,127,128,117,86,65,0,0,0
2024-03-01,1111,시청,승차,0,0,28,47,85,117,150,148,241,283,257,242,320,277,340,294,267,288,252,260,94,0,0,0
2024-03-01,1111,시청,하차,0,0,16,64,119,194,265,228,245,255,268,320,282,357,376,382,253,191,175,103,69,0,0,0
2024-03-01,1112,정부청사,승차,0,0,23,43,76,137,126,150,176,206,206,232,250,355,332,263,198,181,144,82,39,0,0,0
2024-03-01,1112,정부청사,하차,0,0,22,76,63,150,229,265,284,325,295,330,232,306,268,285,252,155,141,100,66,21,0,0
2024-03-01,1113,갈마,승차,0,0,43,64,121,140,176,137,202,152,146,172,128,146,161,125,93,77,58,46,33,0,0,0
2024-03-01,1113,갈마,하차,0,0,10,10,24,56,62,99,96,133,144,130,191,175,194,195,164,98,123,136,99,0,0,0
2024-03-01,1114,월평,승차,0,0,41,63,103,154,177,196,178,145,189,181,185,209,198,177,121,98,79,61,29,0,0,0
2024-03-01,1114,월평,하차,0,0,15,21,28,45,70,88,124,135,147,163,218,192,261,172,155,149,180,126,82,0,0,0
2024-03-01,1115,갑천,승차,0,0,9,21,38,44,38,47,48,40,43,45,47,57,48,39,33,20,16,6,1,0,0,0
2024-03-01,1115,갑천,하차,0,0,3,7,18,24,31,23,29,46,41,49,42,37,51,54,40,37,29,32,25,3,0,0
2024-03-01,1116,유성온천,승차,0,0,86,145,214,305,363,412,551,531,585,561,583,569,584,495,387,331,303,194,170,1,0,0
2024-03-01,1116,유성온천,하차,0,0,39,119,117,275,360,389,431,506,483,559,548,717,642,653,473,470,419,338,190,23,0,0
2024-03-01,1117,구암,승차,0,0,30,32,46,108,119,133,189,215,141,153,183,147,158,157,111,88,55,27,12,1,0,0
2024-03-01,1117,구암,하차,0,0,7,32,67,103,124,143,127,123,117,135,166,161,175,146,130,113,113,61,29,4,0,0
2024-03-01,1118,현충원,승차,0,0,8,12,27,96,75,106,137,118,162,133,133,137,110,64,47,43,33,21,3,0,0,0
2024-03-01,1118,현충원,하차,0,0,1,12,25,55,85,101,124,86,73,74,74,72,88,76,55,63,57,60,11,3,0,0
2024-03-01,1119,월드컵경기장,승차,0,0,22,30,51,99,123,123,119,132,173,125,127,141,142,104,83,215,74,25,13,0,0,0
2024-03-01,1119,월드컵경기장,하차,0,0,7,43,62,79,81,99,115,196,109,93,84,115,146,95,82,62,88,55,35,2,0,0
2024-03-01,1120,노은,승차,0,0,23,57,63,125,132,151,172,196,203,241,209,215,230,221,158,144,140,128,58,6,0,0
2024-03-01,1120,노은,하차,0,0,10,19,22,75,130,126,201,188,199,200,268,245,244,270,249,180,121,126,88,10,0,0
2024-03-01,1121,지족,승차,0,0,21,25,36,80,83,71,100,96,88,87,80,72,108,78,60,41,39,15,15,7,0,0
2024-03-01,1121,지족,하차,0,0,11,16,22,37,46,43,39,56,66,61,87,106,86,81,55,70,45,72,51,20,0,0
2024-03-01,1122,반석,승차,0,0,43,78,136,234,320,364,419,392,325,343,286,319,343,302,217,171,208,133,83,0,0,0
2024-03-01,1122,반석,하차,0,0,40,59,76,156,187,152,204,181,189,221,275,340,460,369,338,264,298,271,119,38,0,0
2024-03-02,1101,판암,승차,0,3,54,81,151,211,267,267,241,269,265,214,184,206,196,135,111,96,39,25,18,0,0,0
2024-03-02,1101,판암,하차,0,3,14,32,51,96,114,128,155,156,155,182,212,263,290,209,155,147,166,138,73,32,0,0
2024-03-02,1102,신흥,승차,0,0,33,42,67,121,88,71,75,75,99,59,72,71,73,38,42,27,12,7,6,0,0,0
2024-03-02,1102,신흥,하차,0,0,8,17,13,24,29,37,58,51,75,55,84,71,110,106,55,72,46,70,38,8,0,0
2024-03-02,1103,대동,승차,0,6,54,68,114,194,210,279,239,194,198,183,168,174,213,152,114,77,60,52,35,0,0,0
2024-03-02,1103,대동,하차,0,6,11,30,53,158,77,85,108,142,133,146,164,169,183,179,162,175,143,140,128,19,0,0
2024-03-02,1104,대전,승차,0,10,27,42,128,326,471,753,828,960,869,825,1021,1018,862,748,608,638,630,464,225,0,0,0
2024-03-02,1104,대전,하차,0,10,78,199,327,540,621,821,888,802,959,899,782,798,625,584,429,406,249,79,43,3,0,0
2024-03-02,1105,중앙로,승차,0,0,28,24,47,99,108,134,205,333,461,457,633,821,759,707,686,510,463,275,165,6,0,0
2024-03-02,1105,중앙로,하차,0,0,17,32,45,143,250,467,697,828,964,863,723,696,668,516,317,218,140,72,35,1,0,0
2024-03-02,1106,중구청,승차,0,0,16,12,28,51,84,58,80,93,83,60,83,90,80,79,53,53,41,18,15,0,0,0
2024-03-02,1106,중구청,하차,0,0,8,32,36,57,80,73,83,103,115,88,78,94,117,71,50,44,41,32,24,1,0,0
2024-03-02,1107,서대전네거리,승차,0,0,61,60,111,198,201,267,308,277,351,310,312,267,247,298,198,140,124,106,75,0,0,0
2024-03-02,1107,서대전네거리,하차,0,0,15,44,98,183,233,219,246,279,313,289,315,346,453,404,250,168,195,138,117,11,0,0
2024-03-02,1108,오룡,승차,0,0,39,50,94,162,170,160,170,188,198,159,125,132,200,126,101,51,70,29,19,0,0,0
2024-03-02,1108,오룡,하차,0,0,11,20,38,74,97,96,115,136,156,140,156,183,181,153,143,121,99,97,70,0,0,0
2024-03-02,1109,용문,승차,0,5,69,70,143,227,273,250,385,368,445,437,335,412,417,352,218,205,133,93,70,0,0,0
2024-03-02,1109,용문,하차,0,5,26,71,81,219,287,311,317,349,374,388,433,439,493,335,282,215,229,173,103,0,0,0
2024-03-02,1110,탄방,승차,0,0,23,45,105,145,123,157,161,188,237,197,199,244,288,211,142,100,94,80,25,0,0,0
2024-03-02,1110,탄방,하차,0,0,25,60,66,167,276,182,203,224,233,206,233,228,226,192,122,110,117,66,68,0,0,0
2024-03-02,1111,시청,승차,0,0,28,58,75,132,179,245,306,354,426,365,354,460,389,377,278,257,305,269,138,0,0,0
2024-03-02,1111,시청,하차,0,0,24,71,110,304,397,333,339,409,374,343,306,375,320,311,226,174,166,110,82,2,0,0
2024-03-02,1112,정부청사,승차,0,0,20,43,64,110,158,167,230,259,312,322,323,316,359,294,228,222,164,99,36,0,0,0
2024-03-02,1112,정부청사,하차,0,0,36,59,91,225,283,257,349,363,325,339,326,290,277,240,176,129,147,111,52,33,0,0
2024-03-02,1113,갈마,승차,0,0,51,53,99,158,184,149,157,176,163,137,163,179,160,123,72,67,69,49,31,0,0,0
2024-03-02,1113,갈마,하차,0,0,8,13,32,54,65,108,135,127,194,197,178,194,246,194,171,123,115,113,100,2,0,0
2024-03-02,1114,월평,승차,0,0,33,68,106,167,174,176,189,182,195,194,211,179,163,146,108,120,66,70,24,0,0,0
2024-03-02,1114,월평,하차,0,0,12,22,22,66,95,115,161,130,211,175,213,222,242,213,167,140,159,145,98,0,0,0
2024-03-02,1115,갑천,승차,0,0,10,18,35,50,46,46,68,48,68,53,43,59,41,47,27,26,11,5,6,0,0,0
2024-03-02,1115,갑천,하차,0,0,7,19,19,31,35,54,40,58,47,58,48,53,48,45,34,30,37,31,26,1,0,0
2024-03-02,1116,유성온천,승차,0,0,51,126,227,336,430,491,519,613,642,593,680,648,572,477,331,314,315,183,147,1,0,0
2024-03-02,1116,유성온천,하차,0,0,57,93,110,340,387,411,490,556,551,599,556,690,714,680,552,460,428,343,206,21,0,0
2024-03-02,1117,구암,승차,0,0,27,38,44,119,124,130,132,159,133,167,162,183,146,133,100,75,54,36,20,0,0,0
2024-03-02,1117,구암,하차,0,0,5,38,52,81,114,137,147,126,139,162,129,178,176,139,121,117,104,51,38,6,0,0
2024-03-02,1118,현충원,승차,0,0,10,12,47,111,105,117,119,129,163,161,140,124,113,74,58,40,30,20,2,0,0,0
2024-03-02,1118,현충원,하차,0,0,2,13,21,49,78,86,121,78,59,67,65,106,115,73,66,45,72,43,17,3,0,0
2024-03-02,1119,월드컵경기장,승차,0,0,9,30,44,116,110,122,128,119,128,104,102,149,139,122,79,54,54,36,12,0,0,0
2024-03-02,1119,월드컵경기장,하차,0,0,8,25,44,62,74,71,91,74,108,86,97,139,137,139,96,68,71,85,35,6,0,0
2024-03-02,1120,노은,승차,0,0,23,41,87,125,177,189,227,246,266,210,212,230,262,196,160,159,137,91,55,2,0,0
2024-03-02,1120,노은,하차,0,0,9,28,57,123,192,152,178,218,233,230,248,318,277,272,211,154,128,128,79,8,0,0
2024-03-02,1121,지족,승차,0,0,14,28,46,98,98,92,90,119,96,107,91,110,110,102,44,50,41,15,25,0,0,0
2024-03-02,1121,지족,하차,0,0,5,15,29,58,50,60,54,62,79,82,64,101,122,103,81,92,69,66,45,9,0,0
2024-03-02,1122,반석,승차,0,0,41,81,154,300,381,350,423,432,400,340,338,386,382,270,172,231,135,114,67,0,0,0
2024-03-02,1122,반석,하차,0,0,34,80,108,163,189,186,187,231,237,270,315,382,480,390,307,259,308,238,127,41,0,0
2024-03-03,1101,판암,승차,0,0,40,56,85,196,194,197,204,173,208,176,160,173,119,134,92,68,26,26,8,1,0,0
2024-03-03,1101,판암,하차,0,0,8,24,39,71,85,79,142,129,127,169,176,183,202,157,114,128,125,88,53,25,0,0
2024-03-03,1102,신흥,승차,0,0,14,31,30,73,63,70,79,62,73,54,50,43,28,33,19,26,18,4,2,0,0,0
2024-03-03,1102,신흥,하차,0,0,3,11,13,11,31,43,41,25,47,61,55,79,86,82,50,40,40,38,27,3,0,0
2024-03-03,1103,대동,승차,0,0,40,44,66,155,147,182,207,165,185,185,148,121,141,108,85,79,37,31,20,1,0,0
2024-03-03,1103,대동,하차,0,0,12,28,37,51,63,84,113,87,97,134,166,163,153,185,132,159,132,101,80,9,0,0
2024-03-03,1104,대전,승차,0,0,12,39,82,210,284,472,529,599,617,739,965,908,815,677,757,925,836,658,340,1,0,0
2024-03-03,1104,대전,하차,0,0,50,156,235,419,393,517,640,520,574,623,570,508,539,406,408,368,239,85,38,1,0,0
2024-03-03,1105,중앙로,승차,0,0,9,20,24,56,89,86,121,186,272,344,393,526,452,542,409,344,303,149,53,4,0,0
2024-03-03,1105,중앙로,하차,0,0,8,42,27,77,171,266,470,521,572,570,461,409,443,259,215,108,86,52,28,7,0,0
2024-03-03,1106,중구청,승차,0,0,5,16,22,35,57,41,63,40,62,42,77,79,74,58,45,20,27,28,7,0,0,0
2024-03-03,1106,중구청,하차,0,0,5,15,9,18,37,55,48,68,64,81,65,65,79,59,58,43,57,38,29,3,0,0
2024-03-03,1107,서대전네거리,승차,0,0,39,54,51,143,170,219,180,218,232,245,228,220,226,210,167,124,98,54,35,0,0,0
2024-03-03,1107,서대전네거리,하차,0,0,16,61,62,113,122,166,167,195,217,210,254,300,262,291,214,213,144,101,78,4,0,0
2024-03-03,1108,오룡,승차,0,0,30,38,72,116,133,135,141,224,152,149,131,168,120,115,123,57,71,38,27,0,0,0
2024-03-03,1108,오룡,하차,0,0,7,30,32,63,92,159,90,107,112,160,139,161,149,159,106,100,80,90,66,0,0,0
2024-03-03,1109,용문,승차,0,0,50,60,75,124,153,348,346,284,320,583,372,309,430,294,211,182,165,108,73,0,0,0
2024-03-03,1109,용문,하차,0,0,15,42,74,407,295,338,522,227,238,339,417,304,294,284,311,206,157,163,103,0,0,0
2024-03-03,1110,탄방,승차,0,0,27,40,50,102,87,116,123,165,192,137,173,115,145,137,84,81,84,39,19,0,0,0
